county_fips,state_name,slope_drop_dist,mean_after_drop_dist,slope_last_fatigue_dist,slope_drop_visitation,mean_after_drop_visitation,slope_last_fatigue_visitation,slope_drop_encounters,mean_after_drop_encounters,slope_last_fatigue_encounters,median_household_income,prop_poor,pop_density_land,black_prop,proportion_essential,prop_coverage
5061,arkansas,-0.01540662,-0.309599609,0.00439661,,,,-0.032768733,-0.592859833,0.019301267,40199,0.173,8.78324092,0.205306949,0.368595041,0.85
5097,arkansas,-0.01371695,-0.33046055,0.006721191,,,,-0.028200129,-0.476849668,0.016431553,38318,0.188,4.452369013,0.004594352,0.333333333,0.71
5109,arkansas,-0.012348309,-0.28951309,0.005055349,-0.007976091,-0.240583449,0.018164959,-0.026280564,-0.564133417,0.030947806,41534,0.178,6.947737181,0.032793029,0.365010799,0.77
5137,arkansas,-0.01151048,-0.299690688,0.009764878,-0.016224428,-0.338319867,0.020686374,-0.021651148,-0.694256665,0.02198691,34009,0.203,7.924463969,0.003692703,0.445873526,0.69
5055,arkansas,-0.019844614,-0.291289939,0.005883577,-0.019520576,-0.3631984,0.017536756,-0.030065892,-0.692928045,0.028064572,46512,0.165,29.82410541,0.017826806,0.337255479,0.95
5091,arkansas,-0.007072415,-0.204420022,0.008350638,-0.029078662,-0.433315187,0.017253975,-0.026787224,-0.627304432,0.038820714,42162,0.219,27.00125271,0.248440081,0.302732707,1
4003,arizona,-0.010386744,-0.208229616,0.006209148,-0.035256747,-0.482967785,0.015278868,-0.026594393,-0.744698888,0.021199868,49164,0.151,7.909160031,0.039465173,0.251707174,0.7
4005,arizona,-0.026937187,-0.178868599,0.011950878,-0.086246668,-0.703459729,0.00472938,-0.072371606,-0.841859459,0.009196798,60187,0.159,2.907730578,0.012509275,0.206245593,0.76
4025,arizona,-0.015880007,-0.337081071,0.006107476,-0.038539449,-0.509457021,0.009227655,-0.023703802,-0.671198448,0.026550073,48758,0.132,10.67714706,0.006935554,0.300316241,0.64
4007,arizona,-0.008631269,-0.244485392,0.005270792,-0.020254302,-0.471987438,0.018148869,-0.017705458,-0.523873506,0.043684828,43585,0.204,4.333306678,0.006346379,0.190700664,0.69
4023,arizona,-0.010738067,-0.267821314,0.006031992,-0.024865923,-0.49249529,0.013939835,-0.020901611,-0.747073935,0.025029654,40545,0.244,14.54108112,0.003956053,0.365318177,0.67
4019,arizona,-0.026470569,-0.384020747,0.008835799,-0.055220042,-0.585810661,0.008961176,-0.038873707,-0.777498006,0.012432098,53395,0.162,42.8548311,0.033891748,0.343710528,0.7
6041,california,-0.035185991,-0.574157316,0.00458969,-0.060433786,-0.70774518,0.006072726,-0.057696741,-0.822687742,0.003987294,122933,0.066,193.1005061,0.025143839,0.278923665,0.4
6039,california,-0.014007012,-0.271816202,0.011402613,-0.033451646,-0.544386134,0.009308478,-0.033213635,-0.706844313,0.013280367,53632,0.202,28.00789771,0.032833984,0.430328423,0.69
6009,california,-0.0179635,-0.385087248,0.009783662,-0.009430869,-0.372486283,0.012020441,-0.028188998,-0.627639558,0.006731034,62984,0.121,17.12260581,0.008245252,0.314930609,0.57
6073,california,-0.032005943,-0.498630293,0.002666298,-0.057061629,-0.661713139,0.003660268,-0.057891642,-0.835210662,0.005469396,78777,0.115,302.9941503,0.047029279,0.293601427,0.62
6023,california,-0.014556548,-0.398347096,0.009524105,-0.052616885,-0.713950631,0.006755201,-0.042674145,-0.798115264,0.007205556,49471,0.203,14.69107797,0.012099169,0.329519676,0.6
6057,california,-0.020548509,-0.396818938,0.008317473,-0.033627795,-0.538354192,0.010437566,-0.033562683,-0.789136856,0.012373002,66681,0.103,39.9469912,0.004935002,0.291886851,0.55
6109,california,-0.022497786,-0.390287475,0.00797018,-0.017427481,-0.458849642,0.006615919,-0.04580499,-0.705180126,0.014531603,56500,0.125,9.376087587,0.018683878,0.266221897,0.54
6101,california,-0.015574486,-0.281115504,0.009806876,-0.034994199,-0.550133635,0.008824395,-0.032710729,-0.717303026,0.014862262,57879,0.135,61.43488729,0.021702976,0.397749689,0.69
6095,california,-0.024179175,-0.390300262,0.00663737,-0.042038673,-0.579470214,0.005127539,-0.050918372,-0.751013537,0.007667029,82808,0.079,206.0444057,0.13747565,0.426382246,0.66
6097,california,-0.029983379,-0.443484772,0.003959241,-0.074107348,-0.683268072,0.002565779,-0.056468058,-0.809142977,0.00589491,81002,0.099,122.8269245,0.016025859,0.342952425,0.48
6065,california,-0.019226526,-0.351490767,0.009046059,-0.046929267,-0.607684622,0.006605239,-0.051030755,-0.790971214,0.007470767,66793,0.127,127.6881106,0.061750691,0.368008353,0.75
6099,california,-0.016832922,-0.291879634,0.008598644,-0.043978836,-0.553663077,0.007350765,-0.050256892,-0.753263762,0.009397825,59616,0.156,139.1865627,0.02653438,0.4386823,0.77
6017,california,-0.03383057,-0.506724094,0.00555315,-0.043112916,-0.604946866,0.00810775,-0.062171059,-0.800081047,0.008643255,81869,0.081,42.19958001,0.008899821,0.263785454,0.58
6113,california,-0.010435147,-0.302250096,0.005999224,-0.035221442,-0.512101039,0.008335717,-0.050545362,-0.831744852,0.004061127,67804,0.201,81.79800558,0.024776778,0.422660637,0.61
6107,california,-0.010673149,-0.302166834,0.00826513,-0.034400905,-0.500295732,0.008757171,-0.039896994,-0.721027637,0.010421167,48763,0.222,36.85265632,0.012349177,0.460769378,0.81
6103,california,-0.003887667,-0.107603219,0.007456104,-0.013780657,-0.4510901,0.01315319,-0.027825885,-0.730141336,0.012603429,47572,0.17,8.296818814,0.007306465,0.465834819,0.77
6085,california,-0.032258786,-0.568855259,0.006815901,-0.057229101,-0.744148985,0.004452361,-0.053549842,-0.874134307,0.003752516,125933,0.073,574.8383699,0.023580051,0.295718276,0.54
6029,california,-0.008921526,-0.23866537,0.007361864,-0.051192204,-0.559726626,0.005188207,-0.041729525,-0.754977826,0.009307265,51586,0.205,41.92545231,0.05206052,0.453758985,0.88
6089,california,-0.007527884,-0.213130928,0.007032659,-0.03255841,-0.541451853,0.011171494,-0.028273945,-0.704486761,0.012422037,53908,0.152,18.31466417,0.010508776,0.354187947,0.67
6087,california,-0.027763878,-0.485815304,0.005885886,-0.055942759,-0.698962506,0.002607826,-0.049955083,-0.831598218,0.005624229,84213,0.122,237.464658,0.009717234,0.296301861,0.46
6005,california,-0.01729041,-0.39456483,0.006894293,-0.009033452,-0.365578315,0.019879935,-0.041924162,-0.687059225,0.004376437,58515,0.118,24.56534526,0.025112358,0.309442399,0.51
6115,california,-0.017423248,-0.331086468,0.010380269,-0.026939565,-0.491917004,0.008129214,-0.036218923,-0.76928321,0.013709168,47504,0.172,46.11910409,0.035289143,0.207784727,0.86
6047,california,-0.009574724,-0.254636667,0.007537315,-0.041234709,-0.539606349,0.010348446,-0.039634438,-0.728019355,0.01046453,56169,0.212,53.67222176,0.029763616,0.449897207,0.81
6033,california,-0.017985344,-0.395595401,0.008596773,-0.037071492,-0.609453324,0.00856932,-0.02946917,-0.843254318,0.001627149,45086,0.184,19.71137641,0.017598086,0.467310224,0.74
6015,california,-0.013198292,-0.432294021,0.007094967,-0.009291801,-0.408052584,0.008449982,-0.03127519,-0.65742787,0.01152985,48518,0.204,10.52293111,0.032916487,0.209850107,0.69
6069,california,-0.027917534,-0.426420895,0.009469062,-0.045836572,-0.564753621,0.008500246,-0.041375311,-0.725339282,0.008061984,80063,0.086,16.52008807,0.008758958,0.420333398,0.67
6071,california,-0.008689082,-0.237201727,0.006862073,-0.046193917,-0.577174285,0.007891914,-0.050197767,-0.769085566,0.007975289,63310,0.149,41.10128555,0.081435695,0.413776763,0.83
6077,california,-0.013908101,-0.258055002,0.007553722,-0.035631048,-0.539808978,0.006594547,-0.042558913,-0.734991595,0.008824791,63567,0.143,203.0389818,0.071065288,0.437412393,0.78
6031,california,-0.01547807,-0.308089684,0.008744869,-0.030809314,-0.530651093,0.011240053,-0.044109244,-0.68215952,0.012205204,58255,0.188,41.67726795,0.061347991,0.348660998,0.73
6019,california,-0.016920755,-0.309662304,0.008978133,-0.045546883,-0.585474149,0.007529706,-0.049720725,-0.792017035,0.007299713,52318,0.213,63.38567736,0.046390788,0.459271609,0.8
6053,california,-0.022013197,-0.393350541,0.008272216,-0.051178853,-0.669924555,0.003704228,-0.051793946,-0.786622929,0.008113931,69665,0.133,50.96841445,0.025544429,0.422605639,0.62
6083,california,-0.02322168,-0.446672699,0.007272346,-0.052581989,-0.662234927,0.004496789,-0.052966636,-0.804449491,0.006910439,75646,0.126,62.63967412,0.017855583,0.326320739,0.57
8087,colorado,-0.004661152,-0.157145944,0.008235005,-0.021082816,-0.50660304,0.011705199,-0.020732197,-0.527926679,0.019029095,55387,0.122,8.520276893,0.032705372,0.447351525,0.95
8077,colorado,-0.015535987,-0.309420228,0.010886439,-0.059224501,-0.656234222,0.027172228,-0.036884963,-0.738165743,0.024885011,51132,0.144,17.39732685,0.006984015,0.37260165,0.76
8041,colorado,-0.028493344,-0.408287533,0.010901211,-0.046608026,-0.604240465,0.013315531,-0.038718602,-0.740476109,0.018344742,67923,0.099,124.925569,0.060685909,0.26611092,0.88
